Compartment,Locality_Block,Transect_Number,Old_Shoots,New_Shoots
11,9,7,8,2
11,9,7,7,2
11,9,7,14,2
11,9,7,21,2
11,9,7,11,2
11,9,7,8,2
11,9,7,15,3
11,9,7,7,3
11,9,7,5,3
11,9,7,18,3
11,9,7,6,3
11,9,7,10,3
11,9,7,13,3
11,9,7,11,3
11,9,7,9,4
11,9,7,8,4
11,9,7,15,4
11,9,7,12,4
11,9,7,24,4
11,9,7,16,5
11,9,7,19,5
11,9,7,10,6
13,20,10,3,0
13,20,10,3,0
13,20,10,8,0
13,20,10,10,0
13,20,10,12,0
13,20,10,11,0
13,20,10,3,0
13,20,10,4,0
13,20,10,3,0
13,20,10,3,0
13,20,10,12,0
13,20,10,11,0
13,20,10,11,0
13,20,10,12,0
13,20,10,3,0
13,20,10,3,0
13,20,10,8,0
13,20,10,12,0
13,20,10,11,0
13,20,10,11,0
13,20,10,12,0
13,20,10,8,0
13,20,10,3,0
13,20,10,5,0
13,20,10,3,0
13,20,10,8,0
13,20,10,11,0
13,20,10,12,0
13,20,10,11,0
13,20,10,11,0
13,20,10,12,0
13,20,10,8,0
13,20,10,3,0
13,20,10,4,1
13,20,10,4,1
13,20,10,8,1
13,20,10,10,1
13,20,10,7,1
13,20,10,5,1
13,20,10,5,1
13,20,10,8,1
13,20,10,10,1
13,20,10,8,1
13,20,10,5,1
13,20,10,11,1
13,20,10,6,1
13,20,10,9,1
13,20,10,8,1
13,20,10,8,1
13,20,10,2,2
13,20,10,3,2
13,20,10,10,2
13,20,10,5,2
13,20,10,15,2
13,20,10,16,2
13,20,10,5,2
13,20,10,7,2
13,20,10,7,2
13,20,10,24,2
13,20,10,22,2
13,20,10,12,3
13,20,10,13,3
13,20,10,8,3
13,20,10,9,4
13,20,10,20,4
13,20,10,18,4
13,20,10,14,5
13,20,10,22,7
15,5,2,3,0
15,5,2,9,0
15,5,2,3,0
15,5,2,12,0
15,5,2,4,0
15,5,2,6,0
15,5,2,2,0
15,5,2,4,0
15,5,2,5,0
15,5,2,6,0
15,5,2,3,0
15,5,2,9,0
15,5,2,3,0
15,5,2,12,0
15,5,2,4,0
15,5,2,6,0
15,5,2,2,0
15,5,2,4,0
15,5,2,5,0
15,5,2,6,0
15,6,4,3,0
15,6,4,13,0
15,6,4,3,0
15,6,4,4,0
15,6,4,3,0
15,6,4,3,0
15,6,4,13,0
15,6,4,3,0
15,6,4,4,0
15,6,4,3,0
15,6,4,5,1
15,6,4,4,1
15,6,4,4,1
15,6,4,15,1
15,6,4,5,1
15,6,4,4,1
15,6,4,4,1
15,6,4,15,1
15,6,4,5,2
15,6,4,5,2
18,8,6,5,0
18,8,6,5,0
18,8,6,5,0
18,8,6,10,0
18,8,6,3,0
18,8,6,13,0
18,8,6,5,0
18,8,6,5,0
18,8,6,7,0
18,8,6,13,0
18,8,6,2,0
18,8,6,11,0
18,8,6,6,0
18,8,6,5,0
18,8,6,5,0
18,8,6,5,0
18,8,6,10,0
18,8,6,3,0
18,8,6,13,0
18,8,6,13,0
18,8,6,5,0
18,8,6,4,0
18,8,6,5,0
18,8,6,5,0
18,8,6,7,0
18,8,6,13,0
18,8,6,13,0
18,8,6,2,0
18,8,6,11,0
18,8,6,6,0
18,8,6,5,0
18,8,6,5,0
18,8,6,4,0
18,8,6,10,0
18,8,6,3,0
18,8,6,13,0
18,8,6,5,0
18,8,6,4,0
18,8,6,5,0
18,8,6,5,0
18,8,6,7,0
18,8,6,13,0
18,8,6,13,0
18,8,6,2,0
18,8,6,11,0
18,8,6,6,0
18,8,6,5,0
18,8,6,5,0
18,8,6,4,0
18,8,6,10,0
18,8,6,3,0
18,8,6,13,0
18,8,6,5,0
18,8,6,4,0
18,8,6,5,0
18,8,6,5,0
18,8,6,7,0
18,8,6,13,0
18,8,6,13,0
18,8,6,2,0
18,8,6,6,0
18,8,6,12,1
18,8,6,3,1
18,8,6,4,1
18,8,6,12,1
18,8,6,14,1
18,8,6,15,1
18,8,6,13,2
22,9,8,4,0
22,9,8,6,0
22,9,8,21,0
22,9,8,3,0
22,9,8,4,0
22,9,8,4,0
22,9,8,6,0
22,9,8,4,0
22,9,8,8,0
22,9,8,9,0
22,9,8,4,0
22,9,8,3,0
22,9,8,13,0
22,9,8,4,0
22,9,8,13,0
22,9,8,4,0
22,9,8,17,0
22,9,8,13,0
22,9,8,10,1
22,9,8,8,1
22,9,8,7,1
22,9,8,9,1
22,9,8,3,1
22,9,8,3,1
22,9,8,11,1
22,9,8,15,1
22,9,8,18,1
22,9,8,9,1
22,9,8,11,1
22,9,8,8,1
22,9,8,9,1
22,9,8,10,1
22,9,8,4,1
22,9,8,18,1
22,9,8,4,1
22,9,8,3,1
22,9,8,13,1
22,9,8,11,1
22,9,8,5,1
22,9,8,19,1
22,9,8,7,1
22,9,8,21,1
22,9,8,22,1
22,9,8,21,1
22,9,8,16,1
22,9,8,14,1
22,9,8,10,1
22,9,8,12,1
22,9,8,6,1
22,9,8,8,1
22,9,8,5,1
22,9,8,4,1
22,9,8,13,2
22,9,8,10,2
22,9,8,16,2
22,9,8,18,2
22,9,8,12,2
22,9,8,18,2
22,9,8,20,2
22,9,8,4,2
22,9,8,13,2
22,9,8,17,2
22,9,8,20,2
22,9,8,13,2
22,9,8,10,2
22,9,8,21,2
22,9,8,24,2
22,9,8,6,2
22,9,8,15,3
22,9,8,8,3
22,9,8,6,3
22,9,8,10,3
22,9,8,15,3
22,9,8,21,3
22,9,8,24,3
22,9,8,24,3
22,9,8,16,3
22,9,8,13,4
22,9,8,12,6
22,9,8,21,7
31,6,3,3,0
31,6,3,4,0
31,6,3,8,0
31,6,3,5,0
31,6,3,5,0
31,6,3,5,0
31,6,3,3,0
31,6,3,7,0
31,6,3,8,0
31,6,3,10,0
31,6,3,4,0
31,6,3,3,0
31,6,3,7,0
31,6,3,4,0
31,6,3,13,0
31,6,3,7,0
31,6,3,5,0
31,6,3,5,0
31,6,3,4,0
31,6,3,8,0
31,6,3,8,0
31,6,3,5,0
31,6,3,5,0
31,6,3,3,0
31,6,3,6,0
31,6,3,6,0
31,6,3,8,0
31,6,3,2,0
31,6,3,3,0
31,6,3,6,0
31,6,3,3,0
31,6,3,0,0
31,6,3,5,0
31,6,3,5,0
31,6,3,4,0
31,6,3,4,0
31,6,3,2,0
31,6,3,6,0
31,6,3,4,0
31,6,3,5,0
31,6,3,3,0
31,6,3,5,0
31,6,3,7,0
31,6,3,8,0
31,6,3,3,0
31,6,3,2,0
31,6,3,5,0
31,6,3,5,0
31,6,3,4,0
31,6,3,6,0
31,6,3,3,0
31,6,3,3,0
31,6,3,4,0
31,6,3,6,1
31,6,3,7,1
31,6,3,3,1
31,6,3,12,1
31,6,3,6,1
31,6,3,2,1
31,6,3,8,1
31,6,3,3,1
31,6,3,9,1
31,6,3,9,1
31,6,3,3,1
31,6,3,7,1
31,6,3,3,1
31,6,3,5,1
31,6,3,3,1
31,6,3,6,2
31,6,3,2,2
31,6,3,6,2
31,6,3,3,2
31,6,3,8,2
31,6,3,4,2
31,6,3,7,2
31,6,3,7,3
31,6,3,4,3
31,6,3,5,3
