Locality,Year,Replicate,Subculture,Elongation,Multiples,Rooting,Germination,Seed_Length,Seed_Width
4,2002,2,2,45.8,37.5,70,8,1.725,1.1
4,2000,1,2,62.5,16.7,62.5,8,1.725,1.1
4,2000,2,2,60,40,50,8,1.725,1.1
5,2002,1,2,56,28,62.5,42,1.91667,1.33333
5,2002,2,2,45.2,41.9,62.5,42,1.91667,1.33333
5,2000,1,2,60.5,26.3,90,42,1.91667,1.33333
5,2000,2,2,47.7,22.7,88.9,42,1.91667,1.33333
6,2002,1,2,45.8,33.3,80,34,1.61667,0.99167
6,2002,2,2,48.1,37,81.8,34,1.61667,0.99167
6,2000,1,2,64,24,60,34,1.61667,0.99167
6,2000,2,2,58.3,16.7,55.6,34,1.61667,0.99167
7,2002,1,2,22.5,25,57.1,46,1.76667,1.075
7,2002,2,2,35,30,60,46,1.76667,1.075
7,2000,1,2,33.3,44.4,66.7,46,1.76667,1.075
7,2000,2,2,36.8,26.3,57.1,46,1.76667,1.075
8,2002,1,2,41.4,65.5,90,19,1.64167,0.93333
8,2002,2,2,28.9,40,92.9,19,1.64167,0.93333
8,2000,1,2,73.7,78.9,93.3,19,1.64167,0.93333
8,2000,2,2,57.9,78.9,83.3,19,1.64167,0.93333
1,2002,1,3,26.7,35.6,62.5,19,1.74167,1.05
1,2002,2,3,33.3,39.4,71.4,19,1.74167,1.05
1,2000,1,3,56,32,62.5,19,1.74167,1.05
1,2000,2,3,31.4,48.6,62.5,19,1.74167,1.05
2,2002,1,3,30,32.5,60,48,1.33333,0.84167
2,2002,2,3,25,30,80,48,1.33333,0.84167
2,2000,1,3,52.9,41.4,46.7,48,1.33333,0.84167
2,2000,2,3,38.5,30.8,60,48,1.33333,0.84167
3,2002,1,3,45.7,48.6,75,98,1.875,1.325
3,2002,2,3,43.2,35.1,70,98,1.875,1.325
3,2000,1,3,78.3,60.9,75,98,1.875,1.325
3,2000,2,3,64.3,60.7,75,98,1.875,1.325
4,2002,1,3,32,24,75,8,1.725,1.1
4,2002,2,3,43.5,34.8,75,8,1.725,1.1
4,2000,1,3,69.2,30.8,62.5,8,1.725,1.1
4,2000,2,3,50,25,42.9,8,1.725,1.1
5,2002,1,3,45.5,77.3,62.5,42,1.91667,1.33333
5,2002,2,3,45.2,41.9,62.5,42,1.91667,1.33333
5,2000,1,3,40.7,25.9,83.3,42,1.91667,1.33333
5,2000,2,3,40,16,80,42,1.91667,1.33333
6,2002,1,3,50,29.2,70,34,1.61667,0.99167
6,2002,2,3,42.9,25,72.7,34,1.61667,0.99167
6,2000,1,3,45.8,20.8,60,34,1.61667,0.99167
6,2000,2,3,58.3,16.7,50,34,1.61667,0.99167
7,2002,1,3,46.7,23.3,57.1,46,1.76667,1.075
7,2002,2,3,66.7,26.7,62.5,46,1.76667,1.075
7,2000,1,3,72.2,27.8,61.5,46,1.76667,1.075
7,2000,2,3,38.9,33.3,58.8,46,1.76667,1.075
8,2002,1,3,32.4,61.8,80,19,1.64167,0.93333
8,2002,2,3,38.6,29.5,75,19,1.64167,0.93333
8,2000,1,3,50.9,52.7,84.4,19,1.64167,0.93333
8,2000,2,3,63.6,43.6,80,19,1.64167,0.93333
1,2002,1,4,25,28.6,50,19,1.74167,1.05
1,2002,2,4,32,36,50,19,1.74167,1.05
1,2000,1,4,40.7,29.6,62.5,19,1.74167,1.05
1,2000,2,4,48.1,37,66.7,19,1.74167,1.05
2,2002,1,4,29.3,31.7,58.3,48,1.33333,0.84167
2,2002,2,4,25.7,28.6,66.7,48,1.33333,0.84167
2,2000,1,4,44.3,25.7,46.7,48,1.33333,0.84167
2,2000,2,4,47.5,52.5,50,48,1.33333,0.84167
3,2002,1,4,44,40,72.7,98,1.875,1.325
3,2002,2,4,43.2,34.1,72.7,98,1.875,1.325
3,2000,1,4,57.9,47.4,73.3,98,1.875,1.325
3,2000,2,4,40,38,64.3,98,1.875,1.325
4,2002,1,4,25.7,20,62.5,8,1.725,1.1
4,2002,2,4,47.6,38.1,75,8,1.725,1.1
4,2000,1,4,50,17.9,50,8,1.725,1.1
4,2000,2,4,59.4,21.9,63.6,8,1.725,1.1
5,2002,1,4,43.3,40,63.6,42,1.91667,1.33333
5,2002,2,4,48.3,44.8,62.5,42,1.91667,1.33333
5,2000,1,4,35.7,17.9,90,42,1.91667,1.33333
5,2000,2,4,48,24,63.6,42,1.91667,1.33333
6,2002,1,4,40,20,71.4,34,1.61667,0.99167
6,2002,2,4,47.1,29.4,69.2,34,1.61667,0.99167
6,2000,1,4,45.8,12.5,60,34,1.61667,0.99167
6,2000,2,4,46.7,20,45.5,34,1.61667,0.99167
7,2002,1,4,30,22.5,50,46,1.76667,1.075
7,2002,2,4,64.3,25,60,46,1.76667,1.075
7,2000,1,4,43.8,28.1,57.1,46,1.76667,1.075
7,2000,2,4,43.8,31.3,64.3,46,1.76667,1.075
8,2002,1,4,30,60,75,19,1.64167,0.93333
8,2002,2,4,37.5,28.1,75,19,1.64167,0.93333
8,2000,1,4,55.8,46.5,80,19,1.64167,0.93333
8,2000,2,4,50,50,82.1,19,1.64167,0.93333
1,2002,1,5,25,27.8,55.6,19,1.74167,1.05
1,2002,2,5,31.4,34.3,44.4,19,1.74167,1.05
1,2000,1,5,48,36,50,19,1.74167,1.05
1,2000,2,5,60,24,63.6,19,1.74167,1.05
2,2002,1,5,28.2,30.8,50,48,1.33333,0.84167
2,2002,2,5,23.5,26.5,62.5,48,1.33333,0.84167
2,2000,1,5,22.5,17.5,40,48,1.33333,0.84167
2,2000,2,5,63.6,54.5,57.1,48,1.33333,0.84167
3,2002,1,5,42.9,39.3,63.6,98,1.875,1.325
3,2002,2,5,40,33.3,66.7,98,1.875,1.325
3,2000,1,5,57.1,52.4,71.4,98,1.875,1.325
3,2000,2,5,34.8,30.4,62.5,98,1.875,1.325
4,2002,1,5,31,21.4,55.6,8,1.725,1.1
4,2002,2,5,32.5,22.5,55.6,8,1.725,1.1
4,2000,1,5,42.9,17.1,53.3,8,1.725,1.1
4,2000,2,5,40,22.5,53.8,8,1.725,1.1
5,2002,1,5,42.9,39.3,60,42,1.91667,1.33333
5,2002,2,5,46.2,42.3,60,42,1.91667,1.33333
5,2000,1,5,40.6,18.8,50,42,1.91667,1.33333
5,2000,2,5,36.7,13.3,60,42,1.91667,1.33333
6,2002,1,5,38.7,19.4,57.1,34,1.61667,0.99167
6,2002,2,5,46.7,26.7,62.5,34,1.61667,0.99167
6,2000,1,5,46.7,20,60,34,1.61667,0.99167
6,2000,2,5,22.6,12.9,42.9,34,1.61667,0.99167
7,2002,1,5,27.6,24.1,50,46,1.76667,1.075
7,2002,2,5,60.7,21.4,54.5,46,1.76667,1.075
7,2000,1,5,53.3,23.3,46.7,46,1.76667,1.075
7,2000,2,5,32,36,53.3,46,1.76667,1.075
8,2002,1,5,30.3,59.1,66.7,19,1.64167,0.93333
8,2002,2,5,36.9,27.7,72.7,19,1.64167,0.93333
8,2000,1,5,53.8,29.2,76.7,19,1.64167,0.93333
8,2000,2,5,50,31.7,82.1,19,1.64167,0.93333
1,2002,1,6,22.6,25.8,37.5,19,1.74167,1.05
1,2002,2,6,28.6,32.1,50,19,1.74167,1.05
1,2000,1,6,32.1,25,57.1,19,1.74167,1.05
1,2000,2,6,39.3,32.1,44.4,19,1.74167,1.05
2,2002,1,6,25.9,29.6,40,48,1.33333,0.84167
2,2002,2,6,20.7,24.1,60,48,1.33333,0.84167
2,2000,1,6,53.3,46.7,27.3,48,1.33333,0.84167
2,2000,2,6,28.6,21.4,60,48,1.33333,0.84167
3,2002,1,6,42.3,38.5,60,98,1.875,1.325
3,2002,2,6,36,32,57.1,98,1.875,1.325
3,2000,1,6,40,30,60,98,1.875,1.325
3,2000,2,6,90,60,63.6,98,1.875,1.325
4,2002,1,6,30,20,42.9,8,1.725,1.1
4,2002,2,6,31.6,21.1,50,8,1.725,1.1
4,2000,1,6,34.4,18.8,54.5,8,1.725,1.1
4,2000,2,6,32.5,20,50,8,1.725,1.1
5,2002,1,6,40,37.1,50,42,1.91667,1.33333
5,2002,2,6,42.4,39.4,45.5,42,1.91667,1.33333
5,2000,1,6,28.6,17.9,50,42,1.91667,1.33333
5,2000,2,6,47.5,27.5,55.6,42,1.91667,1.33333
6,2002,1,6,30.6,19.4,50,34,1.61667,0.99167
6,2002,2,6,44.1,23.5,55.6,34,1.61667,0.99167
6,2000,1,6,26.8,22,57.1,34,1.61667,0.99167
6,2000,2,6,38.5,10.3,45.5,34,1.61667,0.99167
7,2002,1,6,26.7,23.3,37.5,46,1.76667,1.075
7,2002,2,6,60,20,44.4,46,1.76667,1.075
7,2000,1,6,53.3,30,40,46,1.76667,1.075
7,2000,2,6,28.6,17.9,42.9,46,1.76667,1.075
8,2002,1,6,30,58,64.3,19,1.64167,0.93333
8,2002,2,6,31.3,27.1,66.7,19,1.64167,0.93333
8,2000,1,6,44,40,71.4,19,1.64167,0.93333
8,2000,2,6,56,20,65.4,19,1.64167,0.93333
